RefId,Weight(90Log/10NB)
73015,0.083021847
73016,0.085152094
73017,0.060048572
73018,0.220185414
73019,0.556488191
73020,0.061426161
73021,0.056391351
73022,0.176183236
73023,0.089361904
73024,0.505922169
73025,0.082631392
73026,0.745908111
73027,4.26E-01
73028,0.09614635
73029,0.081115065
73030,0.053774336
73031,0.120490805
73032,0.074507687
73033,0.048190128
73034,0.069561358
73035,0.074353345
73036,0.131401117
73037,0.20239125
73038,0.077500763
73039,0.132271701
73040,0.078546681
73041,0.695695018
73042,0.087651956
73043,0.130906796
73044,0.0595143
73045,0.162748906
73046,0.096643377
73047,0.19232676
73048,0.198478204
73049,0.112316742
73050,3.81E-02
73051,0.127360997
73052,0.742896898
73053,0.639812482
73054,0.073889876
73055,0.24052472
73056,0.087159654
73057,0.160577119
73058,0.141597239
73059,4.48E-02
73060,0.138184246
73061,0.084278726
73062,0.079039973
73063,0.06945204
73064,3.43E-02
73065,0.121600775
73066,4.33E-02
73067,0.09099093
73068,0.095662332
73069,0.058700705
73070,4.84E-02
73071,0.128517412
73072,0.148938843
73073,0.156103892
73074,0.071828873
73075,0.12741522
73076,0.099469112
73077,0.052131844
73078,0.194063985
73079,0.160960885
73080,0.09306406
73081,0.11582879
73082,0.108527261
73083,0.078119142
73084,0.093971256
73085,0.062609288
73086,0.285446878
73087,0.118592425
73088,0.073737192
73089,0.200893945
73090,0.199500072
73091,0.105563976
73092,0.060960253
73093,0.10982349
73094,0.134866893
73095,0.238033454
73096,0.158663468
73097,0.112989183
73098,0.0647519
73099,0.091394314
73100,4.21E-02
73101,0.225742601
73102,0.122879596
73103,0.089764692
73104,0.695215337
73105,0.279422393
73106,0.130180458
73107,0.260713828
73108,0.092089812
73109,0.166164103
73110,0.129468172
73111,0.136270734
73112,0.164955526
73113,0.157164011
73114,0.147084778
73115,0.086456698
73116,0.155884259
73117,0.167897917
73118,0.142765216
73119,0.696083682
73120,0.695768405
73121,0.148001079
73122,0.160179331
73123,0.108899379
73124,0.215073501
73125,4.51E-02
73126,0.201663862
73127,0.231640833
73128,0.202502931
73129,0.11222714
73130,0.089217488
73131,0.100792076
73132,0.164558411
73133,0.049209099
73134,0.197766235
73135,0.09602623
73136,0.143698402
73137,0.747463806
73138,0.145853554
73139,0.11046555
73140,0.792696668
73141,0.06460081
73142,0.202547717
73143,0.180204848
73144,0.073971271
73145,0.15897196
73146,0.202305625
73147,0.078436384
73148,0.066156226
73149,0.136732652
73150,0.111901967
73151,0.280837316
73152,0.042209664
73153,0.167756024
73154,0.203357312
73155,0.111462914
73156,0.112798295
73157,0.154967182
73158,0.104660819
73159,0.091805534
73160,0.644160945
73161,0.173054205
73162,0.747550827
73163,0.108391917
73164,0.160799671
73165,0.240878454
73166,0.166140012
73167,0.089779363
73168,0.059491466
73169,0.28235283
73170,0.052677255
73171,0.168308897
73172,0.164797016
73173,0.082544365
73174,0.058752515
73175,0.130408878
73176,0.168259674
73177,0.157406161
73178,0.201226945
73179,0.046681121
73180,0.075739614
73181,0.166968136
73182,0.126585702
73183,0.280255754
73184,0.063451545
73185,0.282364476
73186,0.136881508
73187,0.146902574
73188,0.123711561
73189,0.083043996
73190,0.167154688
73191,0.747788167
73192,0.746734507
73193,0.088351019
73194,0.232309959
73195,0.108727558
73196,0.137408075
73197,0.696076338
73198,0.050040703
73199,0.102546549
73200,0.198525229
73201,0.199708826
73202,0.696042171
73203,0.144702674
73204,0.134913093
73205,0.144714787
73206,0.134989271
73207,0.098047382
73208,0.128974374
73209,0.143984259
73210,0.102763213
73211,0.146224243
73212,0.102202859
73213,0.145337341
73214,0.163220674
73215,0.235766333
73216,0.08731762
73217,0.200338968
73218,0.157783119
73219,0.203391843
73220,0.14574388
73221,0.165337859
73222,0.134851675
73223,0.09354539
73224,0.072581731
73225,0.168008726
73226,0.11373371
73227,0.129202625
73228,0.199974331
73229,0.116334846
73230,0.092863319
73231,0.198636179
73232,0.828043078
73233,0.745997634
73234,0.159741601
73235,0.164957192
73236,0.19444491
73237,0.146474837
73238,0.081367685
73239,0.127019244
73240,0.104540061
73241,0.09068329
73242,0.171599992
73243,0.695754505
73244,0.066518575
73245,0.122431167
73246,0.747317949
73247,0.157023468
73248,0.088994709
73249,0.075881494
73250,0.119647769
73251,5.75E-02
73252,0.100516765
73253,0.060125959
73254,0.182901154
73255,0.116556962
73256,0.110207803
73257,0.152447012
73258,0.196056669
73259,0.144981746
73260,0.147882833
73261,0.695253169
73262,0.191663398
73263,0.162680876
73264,0.145257457
73265,0.13631944
73266,0.096768138
73267,0.057362629
73268,0.11806209
73269,0.115507034
73270,0.456690546
73271,0.060088427
73272,0.828176648
73273,0.221247604
73274,0.203430367
73275,0.695736332
73276,0.054803657
73277,5.12E-02
73278,0.074975534
73279,0.103789335
73280,0.165339996
73281,0.053221382
73282,0.471644907
73283,0.08133931
73284,0.241340029
73285,0.157023373
73286,0.696080407
73287,0.166652485
73288,0.083912639
73289,0.099915185
73290,0.112100795
73291,0.241480126
73292,0.112612183
73293,0.117996325
73294,0.113409202
73295,0.745969432
73296,0.156960491
73297,0.202707693
73298,0.462081195
73299,0.147565115
73300,0.080098724
73301,0.192353083
73302,1.38E-01
73303,0.19769496
73304,0.132957197
73305,0.696030532
73306,0.747382996
73307,0.106383878
73308,0.16479747
73309,0.176028393
73310,0.282387325
73311,0.213023681
73312,0.259803588
73313,0.209141608
73314,0.218303634
73315,0.119262129
73316,0.8302654
73317,0.133632835
73318,0.168606413
73319,0.079262847
73320,0.082348268
73321,0.092527893
73322,0.096320265
73323,0.161530204
73324,0.640599974
73325,0.641879045
73326,0.644318757
73327,0.161831527
73328,0.049344746
73329,0.090900587
73330,0.060980988
73331,0.053166928
73332,0.07244536
73333,0.165485201
73334,0.229157229
73335,0.081574239
73336,0.178450819
73337,0.07207046
73338,0.068958418
73339,0.746325316
73340,0.718994168
73341,0.22082076
73342,0.20301257
73343,0.455241506
73344,0.06523685
73345,0.136238276
73346,0.092263803
73347,0.089220341
73348,0.17751841
73349,0.861284165
73350,0.058466309
73351,0.106199992
73352,0.058914305
73353,0.640599974
73354,0.075842572
73355,0.173066974
73356,0.07439184
73357,0.192659594
73358,0.095016351
73359,0.053645273
73360,0.181472485
73361,0.068600203
73362,4.08E-02
73363,0.073336202
73364,0.050240772
73365,0.090941162
73366,0.05939419
73367,0.081612313
73368,0.142454977
73369,3.67E-02
73370,0.051658299
73371,0.048140287
73372,3.75E-02
73373,0.049112571
73374,0.644300717
73375,0.14489495
73376,0.214616525
73377,0.140826272
73378,0.132575265
73379,0.077965572
73380,0.055599724
73381,0.227699288
73382,0.074507103
73383,0.100742604
73384,0.140949538
73385,0.083787833
73386,0.051199172
73387,0.038301763
73388,0.089483418
73389,0.072937445
73390,0.072610379
73391,0.058805175
73392,0.220030247
73393,0.060043901
73394,0.177352694
73395,0.05481833
73396,0.168115318
73397,0.050133071
73398,3.76E-02
73399,0.119622932
73400,0.258510349
73401,0.055049734
73402,0.154983075
73403,0.154284712
73404,0.187377352
73405,0.175125727
73406,3.59E-02
73407,0.698190074
73408,3.56E-02
73409,0.072975449
73410,0.061858887
73411,4.37E-02
73412,0.121644811
73413,0.093792473
73414,0.694956324
73415,0.047080485
73416,3.70E-02
73417,0.791937167
73418,0.696073439
73419,0.862799316
73420,3.91E-02
73421,0.132100201
73422,0.69599964
73423,0.13252424
73424,0.792392884
73425,0.167359489
73426,0.072127602
73427,3.48E-02
73428,3.39E-02
73429,0.064657736
73430,0.062409747
73431,0.079545934
73432,3.53E-02
73433,0.123363383
73434,0.070922373
73435,0.082618973
73436,0.070836376
73437,0.082757776
73438,3.42E-02
73439,0.084445677
73440,0.640308866
73441,0.171292313
73442,0.071876248
73443,0.050301437
73444,0.085147044
73445,0.187870841
73446,0.077349651
73447,0.125413764
73448,0.07075903
73449,0.14561464
73450,0.165053554
73451,0.127260374
73452,0.12085234
73453,0.087183445
73454,0.144212427
73455,0.119571528
73456,0.281806332
73457,0.153219292
73458,0.63987611
73459,0.134693355
73460,0.300601506
73461,0.747541988
73462,0.239847154
73463,0.134225836
73464,0.304575431
73465,0.139188651
73466,0.164322033
73467,0.8273675
73468,0.165273901
73469,0.142149453
73470,0.118862895
73471,0.200659524
73472,0.164599511
73473,0.242335643
73474,0.090823747
73475,0.070651431
73476,0.154413278
73477,0.745474701
73478,0.200830421
73479,0.123634329
73480,0.791049568
73481,0.197002399
73482,0.163342168
73483,0.202291793
73484,0.054237693
73485,0.116542276
73486,0.747052014
73487,0.048240603
73488,0.112524304
73489,0.070601106
73490,0.063669891
73491,0.747052014
73492,0.11034761
73493,0.792599116
73494,0.198827108
73495,0.112319717
73496,0.130049435
73497,0.129752314
73498,0.747331976
73499,0.133269011
73500,0.114761027
73501,0.171294373
73502,0.109245377
73503,0.157420147
73504,0.189411184
73505,0.07178832
73506,0.155371804
73507,0.699252237
73508,0.093733145
73509,0.242873751
73510,0.175829113
73511,0.088955281
73512,0.116387906
73513,0.067706922
73514,0.092983198
73515,0.071109098
73516,0.048659334
73517,0.130641439
73518,0.212140979
73519,0.13478059
73520,0.688326234
73521,0.155791641
73522,0.164005967
73523,0.106979176
73524,0.829086773
73525,0.107730931
73526,0.113124643
73527,0.114783169
73528,0.092244172
73529,0.108663886
73530,0.127623523
73531,0.181938581
73532,0.140240956
73533,0.102184501
73534,0.062223844
73535,0.12494977
73536,0.111816897
73537,0.746927142
73538,0.050951393
73539,0.234606649
73540,0.285410559
73541,0.048217927
73542,0.101710423
73543,0.075474924
73544,0.156481642
73545,0.135408831
73546,0.08567242
73547,0.085239042
73548,0.200585537
73549,0.747140479
73550,0.637427784
73551,0.215613385
73552,0.255181314
73553,0.114405451
73554,0.192373901
73555,0.070005075
73556,0.159788023
73557,0.135160661
73558,0.115108917
73559,0.063183619
73560,0.863194085
73561,0.109283022
73562,0.140142525
73563,0.111177117
73564,0.238762961
73565,0.092167306
73566,0.746926698
73567,0.641977613
73568,0.201906362
73569,0.126513389
73570,0.209693001
73571,0.133176166
73572,0.097991036
73573,0.166272695
73574,0.136531005
73575,0.097892419
73576,0.17809321
73577,0.140218884
73578,0.09875431
73579,0.202278564
73580,0.150566042
73581,0.788996652
73582,0.095053122
73583,0.285565902
73584,0.458787422
73585,0.106624641
73586,0.106257611
73587,0.791371491
73588,0.129338984
73589,0.233840997
73590,0.110655624
73591,8.48E-02
73592,0.087796837
73593,0.101579342
73594,0.11133422
73595,0.12770709
73596,0.82977138
73597,0.216384828
73598,5.83E-02
73599,0.093538122
73600,0.137029768
73601,0.093404095
73602,0.08983977
73603,7.13E-02
73604,0.119673082
73605,0.141921123
73606,0.055928062
73607,0.168759837
73608,0.178777535
73609,0.284477858
73610,0.168060044
73611,0.472466928
73612,0.789930297
73613,7.08E-02
73614,0.20203
73615,0.282993412
73616,0.085877975
73617,0.112939462
73618,0.163613497
73619,0.163069502
73620,0.155164916
73621,0.07828275
73622,0.104294936
73623,0.18050715
73624,0.178301847
73625,0.108849688
73626,0.130190249
73627,0.099815101
73628,0.122968651
73629,0.081626609
73630,0.147589046
73631,0.203410605
73632,0.457312727
73633,0.285491279
73634,0.4592783
73635,0.457312727
73636,0.283679469
73637,0.117567985
73638,7.17E-02
73639,0.165345499
73640,0.104881009
73641,6.20E-02
73642,7.14E-02
73643,0.466062958
73644,0.175550093
73645,0.203453991
73646,0.830129742
73647,6.21E-02
73648,0.132031949
73649,0.830021452
73650,0.74772507
73651,0.117588442
73652,0.747782271
73653,0.792479047
73654,0.694439998
73655,0.792503639
73656,0.747093273
73657,0.792869569
73658,0.694644485
73659,0.828762624
73660,0.792570768
73661,0.69559909
73662,0.696997641
73663,0.69736006
73664,0.83029892
73665,0.695202875
73666,0.202538808
73667,0.168509024
73668,0.118252262
73669,0.203389224
73670,0.241570684
73671,0.146293641
73672,0.119678054
73673,0.203074009
73674,0.115083975
73675,0.168277754
73676,0.133651634
73677,0.117961526
73678,0.203392483
73679,0.14727827
73680,0.201706388
73681,0.28643672
73682,0.203243504
73683,0.168334918
73684,0.097717712
73685,0.128868872
73686,0.167715547
73687,0.147745319
73688,0.198814228
73689,0.133849503
73690,0.146390954
73691,0.114201841
73692,0.116947288
73693,0.049854468
73694,0.17911
73695,0.201827403
73696,0.116035628
73697,0.110160022
73698,0.190171754
73699,0.456690546
73700,0.241411234
73701,0.115658496
73702,0.075191505
73703,0.203402578
73704,0.202910859
73705,0.106113175
73706,0.282275511
73707,0.177537501
73708,0.119215167
73709,0.118320285
73710,0.119542503
73711,0.118502441
73712,0.203090091
73713,0.112864161
73714,0.203368765
73715,0.138170428
73716,0.14708905
73717,0.168540469
73718,0.137597162
73719,0.095165614
73720,0.05127277
73721,0.130878887
73722,0.696193968
73723,0.090946485
73724,0.457312727
73725,0.106279789
73726,0.06588446
