@relation 'training_edit2-weka.filters.unsupervised.attribute.NumericToNominal-R2-weka.filters.unsupervised.attribute.Remove-R1,3-5,7-13,16-34'

@attribute IsBadBuy {0,1}
@attribute VehicleAge numeric
@attribute WheelType {Alloy,Covers,NULL,Special}
@attribute VehOdo numeric
@attribute DifAquiredAvg_CurAvgAuction numeric
@attribute DifAquiredAboveAvg_CurAboveAvgRetail numeric
@attribute DifAquiredAvg_CurAvgRetail numeric
@attribute DifAquiredAboveAvg_CurAboveAvgAuction numeric
@attribute AdjVehOd numeric

@data
0,3,Alloy,89046,234,397,13,425,29682
0,5,Alloy,93593,-121,-44,-96,-168,18718
0,4,Covers,73807,-209,-62,-51,-200,18451
0,5,Alloy,65617,9,34,56,5,13123
0,4,Covers,69367,166,199,246,167,17341
0,5,Covers,81054,-162,-175,-289,-184,16210
0,5,Covers,65328,-3,-22,2,-16,13065
0,4,Covers,65805,-100,-134,-69,-59,16451
0,2,Covers,49921,-111,-77,25,-49,24960
0,2,Alloy,84872,-661,-595,-423,-618,42436
0,4,Alloy,80080,-118,-302,-162,-232,20020
0,8,Alloy,75419,37,25,11,62,9427
1,4,Alloy,79315,-146,-4,-154,-175,19828
0,4,Covers,71254,-73,2,-100,-68,17813
0,3,Alloy,74722,-318,76,-463,-60,24907
0,6,Covers,72132,16,347,66,87,12022
0,4,Alloy,80736,-232,-539,-382,-302,20184
0,6,Covers,75156,-127,-407,-227,-183,12526
0,4,Covers,65925,-31,98,-81,13,16481
0,5,Alloy,84498,-18,88,-55,15,16899
0,7,Covers,54586,-167,-142,-166,-184,7798
0,7,Alloy,66536,-126,212,25,-120,9505
0,5,Covers,98130,-32,-252,-71,55,19626
0,3,Covers,59789,-123,-103,-45,-124,19929
0,2,Covers,65663,-604,-483,-773,-511,32831
1,5,Alloy,52106,-109,-160,-20,-163,10421
0,7,Alloy,88958,-21,-29,69,-46,12708
0,5,Alloy,76173,-151,-24,-152,-177,15234
0,5,Alloy,65393,-124,-512,-98,-306,13078
0,4,Alloy,80064,-184,-51,-46,-135,20016
0,6,Alloy,77694,51,26,73,26,12949
1,7,Alloy,56300,-11,-4,15,-31,8042
0,3,Covers,78241,15,166,283,12,26080
0,5,Alloy,57723,-325,93,-26,-342,11544
0,4,Alloy,78434,-350,-145,-257,-202,19608
1,8,Alloy,82944,-5,4,-12,-28,10368
0,4,Covers,76304,-113,-188,100,-297,19076
0,6,Alloy,55711,3,-2,40,-29,9285
0,5,Covers,76586,-210,-57,-95,-257,15317
1,5,NULL,65078,0,0,0,0,13015
0,3,Covers,65403,-263,-48,-110,-164,21801
1,5,NULL,86889,0,0,0,0,17377
0,6,Alloy,68990,-98,64,25,-129,11498
0,2,Covers,80949,-575,-453,-534,-610,40474
0,6,Alloy,52774,-237,-111,-171,-204,8795
1,6,NULL,72191,0,0,0,0,12031
0,7,Alloy,59858,-27,153,24,-19,8551
1,8,NULL,79576,0,0,0,0,9947
1,6,Alloy,73291,91,414,254,86,12215
1,4,NULL,50227,0,0,0,0,12556
0,7,Alloy,82146,35,664,292,70,11735
0,4,Covers,58024,-49,62,81,16,14506
0,4,Covers,40919,-184,94,-52,-151,10229
0,5,Covers,87643,-209,-173,-130,-254,17528
0,5,Covers,80968,-116,-16,5,-96,16193
0,4,Alloy,50308,-166,-250,-215,-260,12577
0,3,Alloy,80795,-168,102,-66,-50,26931
0,4,Alloy,62239,0,111,61,0,15559
1,6,Alloy,87008,-75,-38,-89,-92,14501
0,4,Alloy,64060,-112,13,16,-152,16015
0,8,Covers,77677,-95,-75,-91,-123,9709
0,7,Alloy,58888,9,28,13,-4,8412
0,4,Covers,63557,-308,-101,-243,-301,15889
1,7,Alloy,90026,82,158,65,107,12860
0,5,Alloy,89705,-217,-136,-153,-233,17941
0,6,Alloy,64511,-6,14,24,-4,10751
1,5,Alloy,75513,161,192,92,298,15102
0,4,Alloy,80608,45,173,133,56,20152
1,9,Alloy,95558,-41,-118,-103,-51,10617
0,3,Covers,35796,-144,-219,-45,-156,11932
0,4,Alloy,83501,-5,-35,-32,10,20875
0,3,Alloy,70148,-123,280,130,-226,23382
0,4,Covers,76052,-58,-144,-46,-18,19013
0,4,Alloy,72479,-205,-249,-244,-164,18119
0,5,Covers,84542,-100,-173,-167,-85,16908
0,5,Alloy,61081,-253,-285,-268,-276,12216
1,9,Alloy,86483,-124,-122,-100,-140,9609
0,4,Covers,43898,-93,-98,-40,-119,10974
0,4,Alloy,57338,-84,-9,-27,-105,14334
1,7,NULL,59425,-36,-69,-37,-49,8489
0,5,Covers,79957,-92,38,-213,131,15991
0,7,Alloy,78559,-108,7,-11,-101,11222
0,3,Alloy,48386,-288,117,-248,-187,16128
0,7,Alloy,80117,-220,-236,-235,-205,11445
0,6,Alloy,65795,-60,125,-82,-45,10965
0,5,Covers,51145,-83,-255,-124,-167,10229
0,6,Alloy,88366,10,59,55,7,14727
0,5,Alloy,55909,-194,104,-95,-167,11181
0,5,Alloy,86702,96,345,253,138,17340
0,4,Alloy,81424,-53,249,40,-22,20356
0,6,Covers,65379,-174,-209,-237,-203,10896
0,6,Alloy,74954,-125,117,-36,-58,12492
0,8,Alloy,49328,-141,-34,-96,-137,6166
0,7,Covers,73810,-80,-40,-60,-91,10544
0,3,Covers,43412,-225,-50,-77,-187,14470
0,6,Alloy,78412,14,-26,6,-22,13068
0,6,Alloy,74026,-195,-153,-161,-146,12337
1,8,Alloy,64822,-114,-69,-101,-114,8102
0,6,Alloy,80491,-143,-94,-77,-184,13415
0,5,Covers,85003,0,43,222,-139,17000
0,4,Covers,65711,-95,-41,-123,-54,16427
0,5,Alloy,56064,-144,-223,-96,-182,11212
0,4,Covers,62230,-258,-234,-280,-239,15557
0,3,Covers,62190,-67,115,104,-100,20730
0,5,Covers,67426,-114,-185,-144,-117,13485
0,6,Alloy,75806,-51,232,121,-33,12634
0,5,Covers,88991,-2,39,118,-34,17798
0,3,Alloy,89849,-1011,-1141,-851,-969,29949
0,4,Alloy,81338,-88,-432,-187,-246,20334
0,5,Alloy,80077,-57,-108,9,-91,16015
0,8,Covers,77233,-4,256,111,-42,9654
0,5,Alloy,66681,-39,81,55,1,13336
