IsBadBuy,VehicleAge,WheelType,DifAquiredAvg_CurAvgAuction,DifAquiredAboveAvg_CurAboveAvgRetail,DifAquiredAvg_CurAvgRetail,DifAquiredAboveAvg_CurAboveAvgAuction,AdjVehOd
0,3,Alloy,234,397,13,425,29682
0,5,Alloy,-121,-44,-96,-168,18718
0,4,Covers,-209,-62,-51,-200,18451
0,5,Alloy,9,34,56,5,13123
0,4,Covers,166,199,246,167,17341
0,5,Covers,-162,-175,-289,-184,16210
0,5,Covers,-3,-22,2,-16,13065
0,4,Covers,-100,-134,-69,-59,16451
0,2,Covers,-111,-77,25,-49,24960
0,2,Alloy,-661,-595,-423,-618,42436
0,4,Alloy,-118,-302,-162,-232,20020
0,8,Alloy,37,25,11,62,9427
1,4,Alloy,-146,-4,-154,-175,19828
0,4,Covers,-73,2,-100,-68,17813
0,3,Alloy,-318,76,-463,-60,24907
0,6,Covers,16,347,66,87,12022
0,4,Alloy,-232,-539,-382,-302,20184
0,6,Covers,-127,-407,-227,-183,12526
0,4,Covers,-31,98,-81,13,16481
0,5,Alloy,-18,88,-55,15,16899
0,7,Covers,-167,-142,-166,-184,7798
0,7,Alloy,-126,212,25,-120,9505
0,5,Covers,-32,-252,-71,55,19626
0,3,Covers,-123,-103,-45,-124,19929
0,2,Covers,-604,-483,-773,-511,32831
1,5,Alloy,-109,-160,-20,-163,10421
0,7,Alloy,-21,-29,69,-46,12708
0,5,Alloy,-151,-24,-152,-177,15234
0,5,Alloy,-124,-512,-98,-306,13078
0,4,Alloy,-184,-51,-46,-135,20016
0,6,Alloy,51,26,73,26,12949
1,7,Alloy,-11,-4,15,-31,8042
0,3,Covers,15,166,283,12,26080
0,5,Alloy,-325,93,-26,-342,11544
0,4,Alloy,-350,-145,-257,-202,19608
1,8,Alloy,-5,4,-12,-28,10368
0,4,Covers,-113,-188,100,-297,19076
0,6,Alloy,3,-2,40,-29,9285
0,5,Covers,-210,-57,-95,-257,15317
1,5,NULL,0,0,0,0,13015
0,3,Covers,-263,-48,-110,-164,21801
1,5,NULL,0,0,0,0,17377
0,6,Alloy,-98,64,25,-129,11498
0,2,Covers,-575,-453,-534,-610,40474
0,6,Alloy,-237,-111,-171,-204,8795
1,6,NULL,0,0,0,0,12031
0,7,Alloy,-27,153,24,-19,8551
1,8,NULL,0,0,0,0,9947
1,6,Alloy,91,414,254,86,12215
1,4,NULL,0,0,0,0,12556
0,7,Alloy,35,664,292,70,11735
0,4,Covers,-49,62,81,16,14506
0,4,Covers,-184,94,-52,-151,10229
0,5,Covers,-209,-173,-130,-254,17528
0,5,Covers,-116,-16,5,-96,16193
0,4,Alloy,-166,-250,-215,-260,12577
0,3,Alloy,-168,102,-66,-50,26931
0,4,Alloy,0,111,61,0,15559
1,6,Alloy,-75,-38,-89,-92,14501
0,4,Alloy,-112,13,16,-152,16015
